SourceFile,Title
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0001.JPG,0+575.1562 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0002.JPG,0+563.6890 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0003.JPG,0+551.5137 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0004.JPG,0+539.1217 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0005.JPG,0+525.6997 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0006.JPG,0+518.6976 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0007.JPG,0+507.9843 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0008.JPG,0+497.2284 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0009.JPG,0+486.9844 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0010.JPG,0+483.8161 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0011.JPG,0+474.4411 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0012.JPG,0+470.0912 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0013.JPG,0+461.6698 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0014.JPG,0+459.2739 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0015.JPG,0+453.0500 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0016.JPG,0+446.3707 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0017.JPG,0+444.4584 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0018.JPG,0+438.2592 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0019.JPG,0+431.8817 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0020.JPG,0+428.0151 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0021.JPG,0+420.6668 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0022.JPG,0+416.2392 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0023.JPG,0+409.6577 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0024.JPG,0+406.4181 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0025.JPG,0+387.3554 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0026.JPG,0+374.2021 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0027.JPG,0+378.9815 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0028.JPG,0+385.9468 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0029.JPG,0+387.9999 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0030.JPG,0+394.3046 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0031.JPG,0+398.4170 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0032.JPG,0+404.7062 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0033.JPG,0+411.2614 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0034.JPG,0+414.8427 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0035.JPG,0+421.4611 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0036.JPG,0+428.1224 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0037.JPG,0+430.6577 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0038.JPG,0+439.3104 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0039.JPG,0+443.8564 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0040.JPG,0+453.9522 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0041.JPG,0+459.4158 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0042.JPG,0+469.6905 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0043.JPG,0+472.7264 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0044.JPG,0+483.5846 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0045.JPG,0+494.2429 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0046.JPG,0+497.8241 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0047.JPG,0+508.3989 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0048.JPG,0+516.8466 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0049.JPG,0+528.9356 - 
C:/Users/Ronny Schneider/Downloads/exiftest/230523 Riverstone/100_0021/100_0021_0050.JPG,0+540.0928 - 
